DATE, DRATE 
2018-08-01,6820.0 
2018-09-01,9617.0 
2018-10-01,6380.0 
2018-11-01,4671.0 
2018-12-01,4182.0 
2019-01-01,1016.0 
2019-02-01,2830.0 
2019-03-01,5011.0 
2019-04-01,3734.0 
2019-05-01,2084.0 
2019-06-01,3904.0 
2019-07-01,2316.0 
2019-08-01,1563.0 
2019-09-01,5888.0 
2019-10-01,5252.0 
2019-11-01,3312.0 
2019-12-01,1981.0 
2020-01-01,373.0 
2020-02-01,3900.0 
2020-03-01,4371.0 
2020-04-01,-1608.0 
2020-05-01,386.0 
2020-06-01,3621.0 
2020-07-01,4134.0 
2020-08-01,4561.2 
2020-09-01,10174.7 
2020-10-01,6617.6 
2020-11-01,6528.4 
2020-12-01,6505.9 
