DATE, DRATE 
2017-03-01,21768207.0 
2017-04-01,24893152.0 
2017-05-01,23968356.0 
2017-06-01,23871912.0 
2017-07-01,24316449.0 
2017-08-01,23297422.0 
2017-09-01,23139799.0 
2017-10-01,24328688.0 
2017-11-01,26060322.0 
2017-12-01,26495351.0 
2018-01-01,30685764.0 
2018-02-01,26892914.0 
2018-03-01,27000949.0 
2018-04-01,28269828.0 
2018-05-01,28817102.0 
2018-06-01,26940987.0 
2018-07-01,27678020.0 
2018-08-01,25680421.0 
2018-09-01,26994891.0 
2018-10-01,25270071.0 
2018-11-01,22667687.0 
2018-12-01,24849598.0 
2019-01-01,28208285.0 
2019-02-01,25500047.0 
2019-03-01,24960471.0 
2019-04-01,25807040.0 
2019-05-01,24255776.0 
2019-06-01,24710304.0 
2019-07-01,24107780.0 
2019-08-01,23230387.0 
2019-09-01,24456786.0 
2019-10-01,25045382.0 
2019-11-01,24671138.0 
2019-12-01,27393296.0 
2020-01-01,28718926.0 
2020-02-01,31211202.0 
2020-03-01,43082921.0 
2020-04-01,42835008.0 
2020-05-01,43969233.0 
2020-06-01,46323213.0 
2020-07-01,47786310.0 
2020-08-01,60526989.0 
2020-09-01,53880132.0 
2020-10-01,55039833.0 
2020-11-01,61587622.0 
2020-12-01,61587622.0 
